benchmark,cpu_time,number_of_decisions,status,wall_time
j203_5,496.19ms,42594,OPTIMAL,646.54ms
j2040_1,7.25s,375721,OPTIMAL,7.35s
j2040_10,4.68s,527117,OPTIMAL,4.76s
j2040_2,4.34s,348403,OPTIMAL,5.42s
j2040_3,4.04s,454612,OPTIMAL,4.14s
j2040_4,9.46s,303205,OPTIMAL,9.64s
j2040_5,5.10s,327778,OPTIMAL,5.22s
j2040_6,9.50s,629358,OPTIMAL,10.02s
j2040_7,7.61s,269602,OPTIMAL,7.81s
j2040_8,5.16s,343273,OPTIMAL,6.20s
j2040_9,4.18s,187785,OPTIMAL,6.29s
j2041_1,796.98ms,297280,OPTIMAL,905.68ms
j2041_10,2.48s,144990,OPTIMAL,2.62s
j2041_2,8.53s,286699,OPTIMAL,8.64s
j2041_3,3.39s,457772,OPTIMAL,4.75s
j2041_4,2.92s,390161,OPTIMAL,3.00s
j2041_5,681.72ms,151501,OPTIMAL,1.05s
j2041_6,748.81ms,201512,OPTIMAL,865.56ms
j2041_7,957.52ms,298597,OPTIMAL,1.10s
j2041_8,22.61s,584303,OPTIMAL,22.80s
j2041_9,2.14s,236249,OPTIMAL,2.25s
j2042_1,1.73s,373960,OPTIMAL,7.04s
j2042_10,1.92s,330305,OPTIMAL,2.00s
j2042_2,1.26s,222484,OPTIMAL,1.37s
j2042_3,1.30s,289709,OPTIMAL,1.41s
j2042_4,1.29s,189025,OPTIMAL,1.36s
j2042_5,1.97s,306889,OPTIMAL,2.95s
j2042_6,880.68ms,259803,OPTIMAL,943.01ms
j2042_7,2.20s,302413,OPTIMAL,2.30s
j2042_8,1.61s,652881,OPTIMAL,1.74s
j2042_9,1.00s,217158,OPTIMAL,1.06s
j2043_1,831.52ms,233318,OPTIMAL,907.29ms
j2043_10,1.01s,331697,OPTIMAL,1.09s
j2043_2,983.34ms,221956,OPTIMAL,1.07s
j2043_3,1.02s,361158,OPTIMAL,1.09s
j2043_4,1.07s,199871,OPTIMAL,1.22s
j2043_5,1.39s,390353,OPTIMAL,1.47s
j2043_6,1.03s,219064,OPTIMAL,1.44s
j2043_7,1.53s,306393,OPTIMAL,1.59s
j2043_8,1.02s,364188,OPTIMAL,1.44s
j2043_9,1.24s,237447,OPTIMAL,1.34s
j2044_1,2.40s,462552,OPTIMAL,2.60s
j2044_10,725.19ms,235500,OPTIMAL,812.77ms
j2044_2,1.18s,270138,OPTIMAL,1.34s
j2044_3,2.37s,384591,OPTIMAL,2.62s
j2044_4,1.90s,453440,OPTIMAL,2.02s
j2044_5,974.11ms,280617,OPTIMAL,1.05s
j2044_6,1.47s,318059,OPTIMAL,1.66s
j2044_7,1.04s,217280,OPTIMAL,1.16s
j2044_8,2.01s,594641,OPTIMAL,2.15s
j2044_9,886.43ms,249450,OPTIMAL,1.18s
j2045_1,60.04s,1029382,SATISFIABLE,60.58s
j2045_10,60.03s,539602,SATISFIABLE,60.44s
j2045_2,37.43s,546699,OPTIMAL,40.74s
j2045_3,59.91s,691471,SATISFIABLE,60.83s
j2045_4,60.46s,719485,SATISFIABLE,60.83s
j2045_5,60.35s,621920,SATISFIABLE,60.71s
j2045_6,3.55s,315626,OPTIMAL,3.85s
j2045_7,52.87s,656502,OPTIMAL,53.28s
j2045_8,60.57s,749618,SATISFIABLE,60.95s
j2045_9,38.49s,383482,OPTIMAL,38.70s
j2046_1,4.39s,298142,OPTIMAL,4.51s
j2046_10,3.09s,643470,OPTIMAL,3.20s
j2046_2,1.50s,253296,OPTIMAL,1.60s
j2046_3,15.83s,604295,OPTIMAL,15.98s
j2046_4,5.53s,336850,OPTIMAL,5.64s
j2046_5,2.21s,354604,OPTIMAL,2.53s
j2046_6,5.69s,327958,OPTIMAL,5.82s
j2046_7,8.29s,412901,OPTIMAL,8.47s
j2046_8,3.44s,329640,OPTIMAL,3.78s
j2046_9,2.85s,367668,OPTIMAL,3.15s
j2047_1,3.22s,210243,OPTIMAL,3.34s
j2047_10,6.94s,288914,OPTIMAL,7.24s
j2047_2,2.36s,400900,OPTIMAL,2.46s
j2047_3,1.91s,240431,OPTIMAL,2.97s
j2047_4,3.67s,331241,OPTIMAL,3.79s
j2047_5,2.57s,243439,OPTIMAL,2.68s
j2047_6,2.39s,336602,OPTIMAL,2.81s
j2047_7,4.55s,390645,OPTIMAL,4.71s
j2047_8,2.34s,391497,OPTIMAL,2.52s
j2047_9,1.72s,175705,OPTIMAL,1.84s
j2048_1,2.38s,411223,OPTIMAL,2.71s
j2048_10,2.23s,404764,OPTIMAL,2.69s
j2048_2,2.09s,390692,OPTIMAL,2.20s
j2048_3,1.89s,157257,OPTIMAL,2.06s
j2048_4,3.58s,441325,OPTIMAL,3.71s
j2048_5,2.74s,405379,OPTIMAL,2.86s
j2048_6,2.90s,462207,OPTIMAL,3.02s
j2048_7,2.50s,345966,OPTIMAL,2.77s
j2048_8,1.69s,258649,OPTIMAL,2.05s
j2048_9,1.55s,225160,OPTIMAL,1.78s
j2049_1,1.52s,333182,OPTIMAL,1.66s
j2049_10,902.08ms,330915,OPTIMAL,1.05s
j2049_2,1.33s,584784,OPTIMAL,1.54s
j2049_3,823.73ms,232082,OPTIMAL,975.76ms
j2049_4,844.40ms,369483,OPTIMAL,1.31s
j2049_5,1.16s,302693,OPTIMAL,1.25s
j2049_6,827.15ms,302662,OPTIMAL,977.05ms
j2049_7,517.73ms,172234,OPTIMAL,588.71ms
j2049_8,944.86ms,175500,OPTIMAL,1.07s
j2049_9,1.29s,464520,OPTIMAL,1.35s
j2050_1,828.19ms,399010,OPTIMAL,902.69ms
j2050_10,641.75ms,200520,OPTIMAL,704.26ms
j2050_2,817.33ms,333356,OPTIMAL,926.21ms
j2050_3,724.39ms,195583,OPTIMAL,777.90ms
j2050_4,1.06s,295073,OPTIMAL,1.13s
j2050_5,411.85ms,82999,OPTIMAL,927.86ms
j2050_6,710.90ms,293413,OPTIMAL,836.97ms
j2050_7,1.29s,582654,OPTIMAL,1.36s
j2050_8,780.87ms,215874,OPTIMAL,1.35s
j2050_9,774.89ms,344820,OPTIMAL,1.00s
j2051_1,868.01ms,260924,OPTIMAL,1.02s
j2051_10,997.61ms,391159,OPTIMAL,1.35s
j2051_2,716.96ms,188636,OPTIMAL,791.92ms
j2051_3,865.45ms,208115,OPTIMAL,1.01s
j2051_4,1.06s,319912,OPTIMAL,1.17s
j2051_5,782.38ms,250107,OPTIMAL,925.59ms
j2051_6,697.77ms,219550,OPTIMAL,816.35ms
j2051_7,521.51ms,112887,OPTIMAL,634.46ms
j2051_8,589.00ms,133929,OPTIMAL,1.29s
j2051_9,656.57ms,149953,OPTIMAL,768.58ms
j2052_1,641.19ms,174373,OPTIMAL,1.34s
j2052_10,835.02ms,285585,OPTIMAL,1.47s
j2052_2,1.17s,293788,OPTIMAL,1.34s
j2052_3,799.14ms,222728,OPTIMAL,1.59s
j2052_4,1.03s,381836,OPTIMAL,1.12s
j2052_5,1.31s,369480,OPTIMAL,1.36s
j2052_6,690.28ms,187464,OPTIMAL,1.06s
j2052_7,974.31ms,274207,OPTIMAL,1.13s
j2052_8,700.72ms,216272,OPTIMAL,779.90ms
j2052_9,672.57ms,141453,OPTIMAL,1.28s
j2053_1,59.88s,439656,SATISFIABLE,60.79s
j2053_10,18.09s,451584,OPTIMAL,18.26s
j2053_2,30.58s,646559,OPTIMAL,30.85s
j2053_3,60.71s,834625,SATISFIABLE,61.01s
j2053_4,60.30s,489191,SATISFIABLE,60.74s
j2053_5,9.05s,425973,OPTIMAL,9.27s
j2053_6,5.10s,337744,OPTIMAL,5.58s
j2053_7,5.12s,521170,OPTIMAL,5.36s
j2053_8,3.56s,490351,OPTIMAL,3.73s
j2053_9,6.13s,344790,OPTIMAL,7.30s
j2054_1,2.00s,413301,OPTIMAL,2.29s
j2054_10,1.01s,173501,OPTIMAL,1.10s
j2054_2,1.34s,282543,OPTIMAL,1.42s
j2054_3,1.85s,274338,OPTIMAL,2.03s
j2054_4,938.61ms,150886,OPTIMAL,1.14s
j2054_5,2.03s,383505,OPTIMAL,2.22s
j2054_6,6.24s,314536,OPTIMAL,6.39s
j2054_7,1.29s,243851,OPTIMAL,1.40s
j2054_8,2.82s,275495,OPTIMAL,2.91s
j2054_9,1.09s,175358,OPTIMAL,1.50s
j2055_1,1.04s,146869,OPTIMAL,1.25s
j2055_10,1.52s,272188,OPTIMAL,1.62s
j2055_2,1.38s,346406,OPTIMAL,1.46s
j2055_3,1.61s,279585,OPTIMAL,1.99s
j2055_4,802.64ms,102234,OPTIMAL,874.67ms
j2055_5,1.70s,353661,OPTIMAL,1.80s
j2055_6,1.19s,187360,OPTIMAL,1.33s
j2055_7,1.88s,304963,OPTIMAL,1.99s
j2055_8,1.10s,171945,OPTIMAL,1.19s
j2055_9,2.06s,288682,OPTIMAL,2.41s
j2056_1,1.48s,282889,OPTIMAL,1.57s
j2056_10,2.24s,378371,OPTIMAL,2.40s
j2056_2,989.39ms,104902,OPTIMAL,1.10s
j2056_3,1.60s,278604,OPTIMAL,1.75s
j2056_4,3.00s,372336,OPTIMAL,3.17s
j2056_5,1.17s,150415,OPTIMAL,1.31s
j2056_6,1.83s,263653,OPTIMAL,3.38s
j2056_7,1.09s,134594,OPTIMAL,1.30s
j2056_8,1.26s,157458,OPTIMAL,1.35s
j2056_9,1.41s,199019,OPTIMAL,1.51s
j2057_1,471.57ms,141228,OPTIMAL,543.47ms
j2057_10,606.01ms,193600,OPTIMAL,698.44ms
j2057_2,482.64ms,182482,OPTIMAL,540.25ms
j2057_3,382.68ms,136484,OPTIMAL,508.65ms
j2057_4,1.15s,445650,OPTIMAL,1.75s
j2057_5,793.77ms,323409,OPTIMAL,1.07s
j2057_6,448.00ms,204840,OPTIMAL,576.43ms
j2057_7,741.24ms,455436,OPTIMAL,897.31ms
j2057_8,414.44ms,119952,OPTIMAL,578.57ms
j2057_9,660.91ms,273066,OPTIMAL,764.22ms
j2058_1,496.00ms,144956,OPTIMAL,863.01ms
j2058_10,380.76ms,79630,OPTIMAL,502.84ms
j2058_2,551.37ms,157200,OPTIMAL,653.95ms
j2058_3,546.60ms,115237,OPTIMAL,610.05ms
j2058_4,476.49ms,135471,OPTIMAL,583.82ms
j2058_5,502.46ms,125109,OPTIMAL,580.66ms
j2058_6,615.48ms,229457,OPTIMAL,1.68s
j2058_7,1.05s,388231,OPTIMAL,1.30s
j2058_8,457.81ms,164101,OPTIMAL,532.80ms
j2058_9,709.70ms,197732,OPTIMAL,1.68s
j2059_1,748.42ms,168300,OPTIMAL,829.87ms
j2059_10,688.31ms,195124,OPTIMAL,934.42ms
j2059_2,536.43ms,134360,OPTIMAL,605.57ms
j2059_3,467.31ms,128228,OPTIMAL,624.85ms
j2059_4,798.79ms,282547,OPTIMAL,922.30ms
j2059_5,556.75ms,190192,OPTIMAL,700.61ms
j2059_6,878.43ms,300837,OPTIMAL,971.38ms
j2059_7,674.33ms,182711,OPTIMAL,775.28ms
j2059_8,713.01ms,183082,OPTIMAL,810.27ms
j2059_9,601.61ms,145617,OPTIMAL,718.73ms
j205_7,6.89s,490900,OPTIMAL,6.98s
j2060_1,927.21ms,230036,OPTIMAL,1.03s
j2060_10,878.77ms,227572,OPTIMAL,959.59ms
j2060_2,479.56ms,118173,OPTIMAL,599.74ms
j2060_3,981.08ms,367048,OPTIMAL,1.05s
j2060_4,713.25ms,155700,OPTIMAL,834.26ms
j2060_5,671.29ms,142408,OPTIMAL,745.25ms
j2060_6,852.44ms,190901,OPTIMAL,1.01s
